Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,female,group C,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71.0,74.0
1,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,69,90.0,88.0
2,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93.0,91.0
3,male,group A,associate's degree,free/reduced,none,married,never,no,1.0,school_bus,5 - 10,45,56.0,42.0
4,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78.0,75.0
5,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84.0,79.0
6,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93.0,89.0
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43.0,39.0
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64.0,68.0
9,female,group B,high school,free/reduced,none,married,regularly,yes,2.0,private,< 5,37,59.0,50.0
10,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,58,54.0,52.0
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52.0,43.0
12,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82.0,74.0
13,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73.0,71.0
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53.0,58.0
15,female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,69,75.0,78.0
16,male,group C,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,88,89.0,86.0
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,23,32.0,28.0
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42.0,47.0
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56.0,58.0
20,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69.0,63.0
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75.0,70.0
22,male,group D,some college,standard,none,married,never,yes,5.0,school_bus,5 - 10,42,53.0,51.0
23,female,group C,some high school,standard,none,divorced,never,no,3.0,school_bus,5 - 10,66,71.0,71.0
24,male,group D,some college,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71.0,80.0
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76.0,76.0
26,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53.0,53.0
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70.0,76.0
28,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70.0,65.0
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72.0,72.0
31,female,group B,some college,standard,none,single,sometimes,yes,5.0,school_bus,5 - 10,63,65.0,61.0
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73.0,66.0
33,male,group C,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42.0,38.0
34,male,group E,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,97,87.0,82.0
35,male,group E,associate's degree,standard,completed,single,sometimes,no,2.0,school_bus,5 - 10,81,81.0,79.0
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82.0,85.0
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64.0,60.0
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91.0,90.0
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56.0,58.0
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60.0,52.0
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1.0,school_bus,5 - 10,59,74.0,69.0
43,male,group B,some college,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,60,65.0,67.0
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55.0,52.0
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53.0,55.0
47,female,group C,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,67,72.0,77.0
49,male,group C,high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,82,84.0,82.0
50,male,group E,some college,standard,none,married,sometimes,no,3.0,school_bus,> 10,54,55.0,48.0
51,male,group C,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68.0,68.0
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45.0,43.0
53,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78.0,75.0
54,female,group C,some high school,free/reduced,completed,married,regularly,yes,2.0,private,> 10,75,86.0,90.0
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41.0,43.0
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86.0,87.0
57,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55.0,49.0
58,male,group D,some college,standard,completed,married,regularly,no,1.0,private,> 10,61,60.0,60.0
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,23,27.5,26.5
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,39,39.0,34.0
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61.0,55.0
64,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58.0,59.0
65,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62.0,58.0
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37.0,37.0
67,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73.0,75.0
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,62,58.0,57.0
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64.0,57.0
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55.0,64.0
