Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore,TotalScore,PerformanceCategory,StrongestSubject,WeakestSubject,ScoreBalance,HighPerformer,WklyStudyHours_Numeric,SiblingCategory
0,female,,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71.0,74.0,72.0,216.0,Good,Writing,Math,1.7320508075688772,0,2.5,2-3 Siblings
1,female,group C,some college,standard,,married,sometimes,yes,0.0,,5 - 10,69,90.0,88.0,82.33333333333333,247.0,Very Good,Reading,Math,11.590225767142474,1,7.5,Only Child
2,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93.0,91.0,90.33333333333333,271.0,Excellent,Reading,Math,3.055050463303893,1,2.5,4+ Siblings
3,male,group A,associate's degree,free/reduced,none,married,never,no,1.0,,5 - 10,45,56.0,42.0,47.666666666666664,143.0,Poor,Reading,Writing,7.371114795831994,0,7.5,One Sibling
4,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78.0,75.0,76.33333333333333,229.0,Good,Reading,Writing,1.5275252316519468,0,7.5,Only Child
5,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84.0,79.0,78.66666666666667,236.0,Good,Reading,Math,5.507570547286102,0,7.5,One Sibling
6,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93.0,89.0,89.0,267.0,Very Good,Reading,Math,4.0,1,7.5,One Sibling
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43.0,39.0,41.0,123.0,Poor,Reading,Writing,2.0,0,12.5,One Sibling
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64.0,68.0,65.66666666666667,197.0,Average,Writing,Reading,2.081665999466133,0,12.5,2-3 Siblings
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59.0,50.0,48.666666666666664,146.0,Poor,Reading,Math,11.060440015358038,0,2.5,4+ Siblings
10,male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,58,54.0,52.0,54.666666666666664,164.0,Below Average,Math,Writing,3.055050463303893,0,7.5,One Sibling
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52.0,43.0,45.0,135.0,Poor,Reading,Math,6.244997998398398,0,7.5,One Sibling
12,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82.0,74.0,74.0,222.0,Good,Reading,Math,8.0,0,7.5,One Sibling
13,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73.0,71.0,74.66666666666667,224.0,Good,Math,Writing,4.725815626252608,0,12.5,One Sibling
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53.0,58.0,53.0,159.0,Below Average,Writing,Math,5.0,0,2.5,2-3 Siblings
15,female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,,69,75.0,78.0,74.0,222.0,Good,Writing,Math,4.58257569495584,0,,Only Child
16,male,group C,high school,standard,,married,sometimes,yes,0.0,school_bus,5 - 10,88,89.0,86.0,87.66666666666667,263.0,Very Good,Reading,Writing,1.5275252316519468,1,7.5,Only Child
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,23,32.0,28.0,27.666666666666668,83.0,Poor,Reading,Math,4.509249752822894,0,7.5,One Sibling
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42.0,47.0,45.0,135.0,Poor,Writing,Reading,2.6457513110645907,0,7.5,One Sibling
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56.0,58.0,54.666666666666664,164.0,Below Average,Writing,Math,4.163331998932266,0,2.5,2-3 Siblings
20,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69.0,63.0,66.0,198.0,Average,Reading,Writing,3.0,0,7.5,4+ Siblings
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75.0,70.0,70.0,210.0,Good,Reading,Math,5.0,0,7.5,2-3 Siblings
22,male,group D,,standard,none,married,never,yes,5.0,,5 - 10,42,53.0,51.0,48.666666666666664,146.0,Poor,Reading,Math,5.8594652770823155,0,7.5,4+ Siblings
23,female,group C,some high school,standard,none,divorced,never,no,3.0,,5 - 10,66,71.0,71.0,69.33333333333333,208.0,Average,Reading,Math,2.8867513459481287,0,7.5,2-3 Siblings
24,male,group D,,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71.0,80.0,75.0,225.0,Good,Writing,Reading,4.58257569495584,0,7.5,2-3 Siblings
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76.0,76.0,75.66666666666667,227.0,Good,Reading,Math,0.5773502691896257,0,7.5,One Sibling
26,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53.0,53.0,57.333333333333336,172.0,Below Average,Math,Reading,7.505553499465135,0,2.5,4+ Siblings
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70.0,76.0,71.66666666666667,215.0,Good,Writing,Math,3.7859388972001824,0,12.5,4+ Siblings
28,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70.0,65.0,68.33333333333333,205.0,Average,Math,Writing,2.8867513459481287,0,7.5,One Sibling
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72.0,72.0,70.0,210.0,Good,Reading,Math,3.4641016151377544,0,2.5,Only Child
31,female,group B,some college,standard,none,single,sometimes,yes,5.0,,5 - 10,63,65.0,61.0,63.0,189.0,Average,Reading,Writing,2.0,0,7.5,4+ Siblings
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73.0,66.0,65.0,195.0,Average,Reading,Math,8.54400374531753,0,7.5,One Sibling
33,male,,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42.0,38.0,40.0,120.0,Poor,Reading,Writing,2.0,0,7.5,2-3 Siblings
34,male,group E,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,,97,87.0,82.0,88.66666666666667,266.0,Very Good,Math,Writing,7.637626158259734,1,,Only Child
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,81,81.0,79.0,80.33333333333333,241.0,Very Good,Math,Writing,1.1547005383792517,1,7.5,4+ Siblings
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82.0,85.0,81.0,243.0,Very Good,Writing,Math,4.58257569495584,1,7.5,2-3 Siblings
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64.0,60.0,58.333333333333336,175.0,Below Average,Reading,Math,6.658328118479393,0,7.5,One Sibling
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91.0,90.0,86.0,258.0,Very Good,Reading,Math,7.810249675906654,1,7.5,One Sibling
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56.0,58.0,57.333333333333336,172.0,Below Average,Math,Reading,1.1547005383792517,0,7.5,4+ Siblings
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60.0,52.0,55.0,165.0,Below Average,Reading,Writing,4.358898943540674,0,7.5,Only Child
