feature,importance
TotalScore,3.182735088904561
WritingScore,3.0781531309243197
MathScore,3.063436943015931
ReadingScore,2.9308217050087007
IsFirstChild_no,2.737197888567786e-15
IsFirstChild_yes,2.494967986924437e-15
ScoreBalance,1.9687923463423594e-15
PracticeSport_regularly,1.3670558103720384e-15
Gender_female,1.333037248905372e-15
NrSiblings,1.3303311162047857e-15
WklyStudyHours_Numeric,1.2714850316414117e-15
SiblingCategory_4+ Siblings,1.184749907173818e-15
ParentEduc_some high school,1.1538458848810354e-15
TransportMeans_school_bus,1.0520808006334584e-15
SiblingCategory_One Sibling,1.0093375312366162e-15
Gender_male,9.928350343409855e-16
TransportMeans_private,8.932761514814399e-16
StrongestSubject_Math,8.786937454939168e-16
ParentMaritalStatus_divorced,7.564553857109894e-16
StrongestSubject_Reading,6.982144002433483e-16
WeakestSubject_Math,6.924541105330364e-16
ParentMaritalStatus_single,6.622951389517633e-16
EthnicGroup_group E,6.190160755247251e-16
PracticeSport_never,6.048472572810366e-16
WeakestSubject_Reading,5.895175330997999e-16
PerformanceCategory_Poor,5.619586878081603e-16
WklyStudyHours_5 - 10,5.299668993470004e-16
PerformanceCategory_Average,5.057475326260408e-16
PerformanceCategory_Below Average,5.036702125868649e-16
SiblingCategory_2-3 Siblings,4.819126358847608e-16
ParentEduc_associate's degree,4.593946343149091e-16
ParentMaritalStatus_married,4.2710975458440505e-16
TestPrep_none,4.180696259154888e-16
PerformanceCategory_Very Good,3.9833010897012e-16
HighPerformer,3.8754839735703247e-16
ParentEduc_bachelor's degree,3.765932934656817e-16
WklyStudyHours_> 10,3.1939358510621824e-16
LunchType_free/reduced,2.943912701371221e-16
PerformanceCategory_Excellent,2.870303186908253e-16
EthnicGroup_group C,2.5586944805455147e-16
StrongestSubject_Writing,2.2892026974344787e-16
WklyStudyHours_< 5,2.0319624554902987e-16
ParentEduc_high school,1.7123192731728926e-16
ParentEduc_some college,1.5217193620649382e-16
PerformanceCategory_Good,1.5023792334948396e-16
ParentEduc_master's degree,1.443460233847953e-16
EthnicGroup_group A,1.2823365809883908e-16
SiblingCategory_Only Child,1.2078297547645662e-16
WeakestSubject_Writing,8.296869509761262e-17
EthnicGroup_group D,6.183179512349186e-17
PracticeSport_sometimes,5.866933308118009e-17
LunchType_standard,5.352568547948574e-17
ParentMaritalStatus_widowed,5.1273171957082266e-17
TestPrep_completed,4.645218065729484e-17
EthnicGroup_group B,3.2875863331356944e-17
